Open Time,Open,High,Low,Close,Volume
2025-06-04 13:00:00,105039.2,105272.3,104720.0,104761.17,633.64563
2025-06-04 14:00:00,104761.17,105045.79,104179.0,105033.3,1446.2321
2025-06-04 15:00:00,105033.3,105542.0,104928.65,105298.27,938.94287
2025-06-04 16:00:00,105298.26,105464.85,105094.0,105445.89,468.85884
2025-06-04 17:00:00,105445.9,105483.14,104963.64,105051.1,399.33188
2025-06-04 18:00:00,105051.11,105300.0,104920.01,104951.54,301.21483
2025-06-04 19:00:00,104951.54,105079.99,104865.25,104913.52,282.68857
2025-06-04 20:00:00,104913.52,104959.64,104407.16,104609.87,484.36457
2025-06-04 21:00:00,104609.88,105045.79,104549.83,104930.61,304.21199
2025-06-04 22:00:00,104930.61,105034.91,104744.18,104775.36,158.79559
2025-06-04 23:00:00,104775.37,104864.5,104625.15,104696.86,176.30335
2025-06-05 00:00:00,104696.86,104976.75,104651.16,104976.74,242.65293
2025-06-05 01:00:00,104976.75,105155.55,104697.84,104774.92,288.56241
2025-06-05 02:00:00,104774.92,105240.84,104774.92,104989.48,396.55703
2025-06-05 03:00:00,104989.48,105064.95,104880.2,105047.15,198.77038
2025-06-05 04:00:00,105047.15,105226.14,105032.95,105173.71,182.6561
2025-06-05 05:00:00,105173.72,105189.22,104570.43,104649.23,673.16476
2025-06-05 06:00:00,104649.22,104696.73,104380.0,104452.93,416.36718
2025-06-05 07:00:00,104452.94,104636.46,104424.52,104518.05,321.50806
2025-06-05 08:00:00,104518.05,104681.28,104424.52,104675.36,277.44002
2025-06-05 09:00:00,104675.36,104920.0,104675.35,104900.0,298.63026
2025-06-05 10:00:00,104900.0,104900.01,104517.43,104659.24,304.88123
2025-06-05 11:00:00,104659.25,104847.52,104551.64,104827.8,180.80524
2025-06-05 12:00:00,104827.79,105776.99,104790.69,105649.59,1029.99302
2025-06-05 13:00:00,105649.6,105909.71,104303.64,104527.0,1449.94992
2025-06-05 14:00:00,104527.0,104927.79,103900.0,104639.2,1874.15172
2025-06-05 15:00:00,104639.21,104871.31,104330.18,104531.49,713.68921
2025-06-05 16:00:00,104531.5,104598.87,103258.0,103262.53,1390.7435
2025-06-05 17:00:00,103262.54,103581.4,103140.0,103240.04,962.55375
2025-06-05 18:00:00,103240.04,103354.56,102581.56,103006.05,1385.84959
2025-06-05 19:00:00,103006.04,103036.91,101596.62,101914.77,2448.38476
2025-06-05 20:00:00,101914.76,102171.44,100372.26,100483.91,3383.41936
2025-06-05 21:00:00,100483.92,101658.17,100428.0,101542.82,2188.11746
2025-06-05 22:00:00,101542.82,101707.77,101029.46,101502.61,949.97233
2025-06-05 23:00:00,101502.61,101835.7,101488.37,101508.68,762.68132
2025-06-06 00:00:00,101508.69,101907.0,101095.8,101900.77,874.39109
2025-06-06 01:00:00,101900.77,101944.89,101681.77,101841.2,378.25915
2025-06-06 02:00:00,101841.19,102208.28,101535.61,102203.52,725.19187
2025-06-06 03:00:00,102203.53,102520.0,102056.23,102493.3,774.57977
2025-06-06 04:00:00,102493.3,102799.23,102387.38,102777.0,593.0447
2025-06-06 05:00:00,102777.01,102954.24,102683.22,102954.24,461.43449
2025-06-06 06:00:00,102954.23,103210.06,102896.1,103160.0,638.68853
2025-06-06 07:00:00,103160.0,103468.66,103050.9,103150.44,585.47496
2025-06-06 08:00:00,103150.44,103589.0,103150.43,103510.25,492.04854
2025-06-06 09:00:00,103510.25,103750.0,103510.24,103643.98,621.57206
2025-06-06 10:00:00,103643.99,103800.0,103553.31,103676.25,580.32136
2025-06-06 11:00:00,103676.24,103991.45,103643.78,103927.99,524.28446
2025-06-06 12:00:00,103927.99,104300.0,103513.7,103753.27,1382.8038
2025-06-06 13:00:00,103753.26,104529.65,103753.26,104098.84,950.84579
2025-06-06 14:00:00,104098.84,104880.88,104004.83,104776.7,991.71953
2025-06-06 15:00:00,104776.7,105333.0,104616.12,105092.28,1335.00321
2025-06-06 16:00:00,105092.28,105284.0,104708.08,104758.27,1057.7328
2025-06-06 17:00:00,104758.28,104975.47,104390.18,104922.14,761.7073
2025-06-06 18:00:00,104922.14,104982.38,104475.93,104497.69,373.48505
2025-06-06 19:00:00,104497.69,104601.87,104013.21,104219.8,569.98192
2025-06-06 20:00:00,104219.8,104617.56,104167.98,104478.07,332.96273
2025-06-06 21:00:00,104478.07,104488.38,104300.0,104386.29,362.2665
2025-06-06 22:00:00,104386.29,104485.91,104232.55,104476.81,240.44272
2025-06-06 23:00:00,104476.82,104487.28,104193.32,104288.44,230.83152
2025-06-07 00:00:00,104288.43,104511.69,103871.09,104511.69,440.68115
2025-06-07 01:00:00,104511.68,104567.89,104348.83,104453.56,211.2017
2025-06-07 02:00:00,104453.55,104611.68,104328.18,104531.57,266.07012
2025-06-07 03:00:00,104531.58,104910.77,104484.52,104871.58,482.21131
2025-06-07 04:00:00,104871.59,104880.32,104643.62,104819.99,263.09442
2025-06-07 05:00:00,104820.0,105000.0,104751.16,104877.36,292.29171
2025-06-07 06:00:00,104877.37,105319.0,104788.31,105316.37,409.73016
2025-06-07 07:00:00,105316.36,105319.13,104834.27,104867.04,343.94832
2025-06-07 08:00:00,104867.03,104966.69,104689.81,104746.44,233.72481
2025-06-07 09:00:00,104746.44,104942.02,104746.43,104848.09,208.46137
2025-06-07 10:00:00,104848.09,105198.58,104840.29,105145.84,355.28954
2025-06-07 11:00:00,105145.83,105264.0,105050.04,105150.01,382.87799
2025-06-07 12:00:00,105150.01,105702.99,105150.0,105465.21,1059.92731
2025-06-07 13:00:00,105465.22,105800.0,105309.56,105610.52,478.46327
2025-06-07 14:00:00,105610.53,105688.4,105394.48,105431.61,394.99404
2025-06-07 15:00:00,105431.61,105577.18,105316.98,105558.11,264.34496
2025-06-07 16:00:00,105558.11,105666.66,105279.06,105350.68,279.15265
